week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event
1,1,emergency,32,76,32,44,67,70,none
1,1,surgery,45,130,45,85,83,78,flu
1,1,general_medicine,37,201,37,164,97,43,flu
1,1,ICU,22,31,22,9,84,91,flu
2,1,emergency,28,169,28,141,75,64,none
2,1,surgery,40,26,26,0,96,56,none
2,1,general_medicine,43,183,43,140,73,93,flu
2,1,ICU,16,7,7,0,79,85,donation
3,1,emergency,32,177,32,145,73,58,flu
3,1,surgery,27,66,27,39,63,72,flu
3,1,general_medicine,37,58,37,21,95,63,none
3,1,ICU,20,21,20,1,82,89,none
4,1,emergency,32,157,32,125,83,75,none
4,1,surgery,56,57,56,1,74,94,none
4,1,general_medicine,43,152,43,109,67,66,flu
4,1,ICU,20,21,20,1,64,85,flu
5,2,emergency,25,388,25,363,93,72,flu
5,2,surgery,26,70,26,44,81,83,donation
5,2,general_medicine,40,103,40,63,73,52,none
5,2,ICU,22,13,13,0,73,88,none
6,2,emergency,34,198,34,164,72,76,flu
6,2,surgery,27,58,27,31,96,81,donation
6,2,general_medicine,69,90,69,21,72,81,none
6,2,ICU,14,12,12,0,87,51,none
7,2,emergency,33,127,33,94,65,77,none
7,2,surgery,37,46,37,9,89,60,none
7,2,general_medicine,62,80,62,18,84,98,donation
7,2,ICU,21,47,21,26,72,83,flu
8,2,emergency,26,240,26,214,96,75,flu
8,2,surgery,51,20,20,0,91,61,strike
8,2,general_medicine,58,105,58,47,71,88,none
8,2,ICU,12,10,10,0,76,98,none
9,3,emergency,28,113,28,85,82,86,none
9,3,surgery,22,41,22,19,61,93,none
9,3,general_medicine,38,78,38,40,63,60,none
9,3,ICU,11,20,11,9,97,73,none
10,3,emergency,17,130,17,113,81,60,none
10,3,surgery,38,57,38,19,68,55,none
10,3,general_medicine,35,64,35,29,95,68,none
10,3,ICU,13,8,8,0,91,56,none
11,3,emergency,16,97,16,81,98,72,donation
11,3,surgery,48,48,48,0,82,80,none
11,3,general_medicine,35,50,35,15,75,75,none
11,3,ICU,14,17,14,3,61,50,none
12,3,emergency,28,347,28,319,68,83,flu
12,3,surgery,38,24,24,0,79,73,none
12,3,general_medicine,33,69,33,36,70,98,none
12,3,ICU,16,13,13,0,79,94,donation
13,4,emergency,23,142,23,119,77,95,none
13,4,surgery,41,54,41,13,75,90,none
13,4,general_medicine,33,72,33,39,73,70,none
13,4,ICU,17,12,12,0,66,52,none
14,4,emergency,15,97,15,82,71,71,none
14,4,surgery,33,49,33,16,97,87,none
14,4,general_medicine,51,47,47,0,86,76,none
14,4,ICU,10,16,10,6,92,54,none
15,4,emergency,17,53,17,36,94,98,none
15,4,surgery,31,124,31,93,65,76,flu
15,4,general_medicine,53,179,53,126,90,76,flu
15,4,ICU,14,11,11,0,92,52,none
16,4,emergency,23,144,23,121,62,89,none
16,4,surgery,37,28,28,0,82,31,strike
16,4,general_medicine,39,41,39,2,85,66,none
16,4,ICU,18,15,15,0,98,78,none
17,5,emergency,21,133,21,112,84,73,none
17,5,surgery,40,23,23,0,95,94,none
17,5,general_medicine,33,76,33,43,75,63,none
17,5,ICU,14,17,14,3,87,83,none
18,5,emergency,18,100,18,82,81,80,donation
18,5,surgery,43,36,36,0,81,98,none
18,5,general_medicine,31,25,25,0,96,62,strike
18,5,ICU,12,9,9,0,63,55,none
19,5,emergency,16,70,16,54,99,45,strike
19,5,surgery,42,44,42,2,78,66,none
19,5,general_medicine,43,60,43,17,85,86,none
19,5,ICU,14,17,14,3,68,61,none
